epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4918,2.40475,4.86883,1.48079,0.00103,0.14286,0.00089,0.00034,1.67811,4.35261,1.12381,3.334e-05,3.334e-05,3.334e-05
2,34.6522,2.78279,4.89636,1.64105,0.00359,0.45714,0.00343,0.00165,1.82516,4.30622,1.12088,8.25248e-05,8.25248e-05,8.25248e-05
3,46.8032,2.53623,4.84301,1.47363,0.00421,0.52857,0.00501,0.00227,1.88739,4.26378,1.10667,0.000130719,0.000130719,0.000130719
4,58.424,2.33217,4.01267,1.33731,0.00413,0.52857,0.00488,0.00258,1.81475,4.15737,1.06429,0.000177924,0.000177924,0.000177924
5,70.5087,2.0934,3.60685,1.18232,0.00639,0.8,0.00838,0.00323,1.6897,4.05107,1.04398,0.000224138,0.000224138,0.000224138
6,83.2317,2.14287,3.24555,1.17397,0.00797,1,0.01419,0.0053,1.69855,3.94334,1.05951,0.000269362,0.000269362,0.000269362
7,95.4242,2.06119,2.62657,1.15058,0.00815,1,0.10786,0.01525,1.51162,3.80995,1.01098,0.000313596,0.000313596,0.000313596
8,106.97,1.87467,2.45938,1.10187,0.00835,1,0.04413,0.009,1.55198,3.82982,1.05765,0.00035684,0.00035684,0.00035684
9,118.847,2.03008,2.42433,1.13302,0.00623,0.72857,0.01173,0.00312,2.24627,4.09054,1.29885,0.000399093,0.000399093,0.000399093
10,131.149,1.84625,2.21643,1.08611,0.00459,0.55714,0.00788,0.00211,2.47484,4.13555,1.44495,0.000440356,0.000440356,0.000440356
11,142.815,1.95689,2.60647,1.14371,0.00537,0.65714,0.00819,0.00297,2.24152,3.99515,1.28039,0.000480629,0.000480629,0.000480629
12,154.135,2.08952,2.31915,1.15683,0.00501,0.55714,0.00774,0.00362,2.03547,3.93009,1.18531,0.000519912,0.000519912,0.000519912
13,165.74,1.85341,2.30485,1.10186,0.0074,0.85714,0.01334,0.0049,2.00121,3.7706,1.15266,0.000558205,0.000558205,0.000558205
14,177.17,1.81788,2.02416,1.06959,0.00846,0.92857,0.01437,0.00558,2.20439,3.75205,1.199,0.000595507,0.000595507,0.000595507
15,188.831,1.84832,1.84337,1.11797,0.00658,0.75714,0.08011,0.02467,2.39123,3.7638,1.33612,0.00063182,0.00063182,0.00063182
16,201.674,1.61036,1.83862,1.0943,0.00586,0.65714,0.0793,0.03195,2.16439,3.76894,1.28513,0.000667142,0.000667142,0.000667142
17,214.066,1.50174,1.68465,1.03411,0.00472,0.58571,0.00572,0.00257,1.86857,3.8337,1.22888,0.000701474,0.000701474,0.000701474
18,226.875,1.58887,2.05674,1.00986,0.00651,0.8,0.10667,0.04295,1.85333,3.7422,1.22368,0.000734815,0.000734815,0.000734815
19,238.944,1.88179,1.90091,1.07489,0.00647,0.8,0.10699,0.0438,1.6732,3.64162,1.16482,0.000767167,0.000767167,0.000767167
20,250.5,1.60825,1.83153,1.13279,0.00724,0.9,0.38618,0.21053,1.59531,3.42623,1.12684,0.000798528,0.000798528,0.000798528
21,262.531,1.68294,1.66414,1.04507,0.00726,0.9,0.52572,0.26874,1.7354,3.24603,1.15403,0.000828899,0.000828899,0.000828899
22,275.794,1.49483,1.52344,1.00503,0.00688,0.8,0.28165,0.12073,1.88696,3.33133,1.16788,0.00085828,0.00085828,0.00085828
23,287.659,1.60518,1.54028,1.06093,0.00767,0.9,0.56842,0.30964,1.53253,3.09967,1.10789,0.000886671,0.000886671,0.000886671
24,300.546,1.62046,1.52792,1.00439,0.70487,0.6604,0.73081,0.41116,1.54029,2.74704,1.1692,0.000914071,0.000914071,0.000914071
25,312.212,1.52611,1.40953,1.00828,0.86276,0.46906,0.73509,0.40457,1.60083,2.66632,1.234,0.000940481,0.000940481,0.000940481
26,324.08,1.49512,1.45662,1.00959,0.76611,0.41089,0.58785,0.32955,1.62476,2.81779,1.16508,0.000965901,0.000965901,0.000965901
27,336.188,1.51074,1.40371,0.99653,0.84765,0.50787,0.71483,0.39439,1.63467,2.76565,1.16146,0.000990331,0.000990331,0.000990331
28,347.433,1.38464,1.34741,1.03759,0.77221,0.54588,0.61278,0.39899,1.47595,2.43747,1.12025,0.00101377,0.00101377,0.00101377
29,358.781,1.2743,1.48951,0.92803,0.77221,0.54588,0.61278,0.39899,1.47595,2.43747,1.12025,0.00103622,0.00103622,0.00103622
30,370.024,1.26341,1.26638,0.98608,0.80512,0.61527,0.70831,0.41018,1.52133,2.39526,1.12906,0.00105768,0.00105768,0.00105768
31,381.534,1.39309,1.36875,1.01746,0.90149,0.64251,0.80952,0.41187,1.55858,2.29225,1.16705,0.00107815,0.00107815,0.00107815
